Month,Day,MaxTemp
September,7,15.4
September,8,19.3
September,9,23.4
September,10,20.5
September,11,21.7
September,12,15.7
September,13,14.8
September,14,15.6
September,15,15.6
September,16,17.2
September,17,19.9
September,18,15.6
September,19,16.2
September,20,13.5
September,21,12.5
September,22,17.4
September,23,19.8
September,24,17.6
September,25,12.9
September,26,15.5
September,27,16.5
September,28,13.5
September,29,14.3
September,30,15.4
October,1,21.2
October,2,17.4
October,3,21.8
October,4,17.5
October,5,16.5
October,6,20.4
October,7,15.3
October,8,20
October,9,24.2
October,10,15.7
October,11,14.2
October,12,20.4
October,13,19.2
October,14,19.3
October,15,16.9
October,16,14.6
October,17,17.7
October,18,17.2
October,19,16.6
October,20,23.2
October,21,24.5
October,22,26.3
October,23,15.5
October,24,15.6
October,25,15.8
October,26,20.8
October,27,25.6
October,28,27.4
October,29,15.2
October,30,16
October,31,20.5
November,1,24.6
November,2,28.5
November,3,25.3
November,4,19.3
November,5,25.5
November,6,26.5
November,7,16.7
November,8,17.9
November,9,20.3
November,10,15.3
November,11,17.5
November,12,13.2
November,13,14.6
November,14,14.7
November,15,13.4
November,16,15.1
November,17,19.6
November,18,25.6
November,19,18.6
November,20,18.2
November,21,19.1
November,22,24.4
November,23,24.4
November,24,27.6
November,25,16
November,26,19.5
November,27,20.4
November,28,23.9
November,29,28.7
November,30,31.2
December,1,32.1
December,2,33.6
December,3,20.9
December,4,19.6
December,5,22.7
December,6,27.5
December,7,15.3
December,8,17.9
December,9,16.4
December,10,20.4
December,11,22
December,12,28.2
December,13,32.7
December,14,25.4
December,15,17.1
December,16,21.9
December,17,29.9
December,18,33.8
December,19,20
December,20,28.1
December,21,27
December,22,21.3
December,23,22.5
December,24,29.4
December,25,24.1
December,26,19
December,27,22.6
December,28,26.4
December,29,27.5
December,30,35
December,31,37.9
