Month,Day,MaxTemp
January,1,29.7
January,2,28.3
January,3,27
January,4,18.5
January,5,18.6
January,6,19.4
January,7,25.1
January,8,28.4
January,9,30.8
January,10,34.5
January,11,35.9
January,12,24.4
January,13,34.6
January,14,23.2
January,15,20.5
January,16,19.9
January,17,20.9
January,18,23.4
January,19,20.3
January,20,27.2
January,21,33
January,22,28.8
January,23,31.6
January,24,37.3
January,25,39.9
January,26,18.7
January,27,25.5
January,28,24.7
January,29,20.7
January,30,22.6
January,31,23.5
February,1,22.2
February,2,19.6
February,3,25
February,4,30.6
February,5,28.2
February,6,25
February,7,20.4
February,8,20.2
February,9,27.6
February,10,32.7
February,11,31.8
February,12,24.4
February,13,21.1
February,14,22.3
February,15,27.7
February,16,30.5
February,17,32.4
February,18,31.5
February,19,32.1
February,20,31.7
February,21,21.8
February,22,22.6
February,23,19.8
February,24,22.5
February,25,24.5
February,26,20.8
February,27,19.4
February,28,28.9
March,1,22.6
March,2,18.9
March,3,20.3
March,4,20.9
March,5,18
March,6,22.7
March,7,29.2
March,8,21.2
March,9,20.5
March,10,23.9
March,11,26.9
March,12,29.3
March,13,27.1
March,14,18.4
March,15,22
March,16,23.5
March,17,27
March,18,26.5
March,19,27.1
March,20,25.3
March,21,23.1
March,22,23.9
March,23,23.1
March,24,20.4
March,25,19.9
March,26,20.7
March,27,21.2
March,28,20
March,29,19
March,30,20.8
March,31,24.4
April,1,28.9
April,2,31.5
April,3,30.7
April,4,27.6
April,5,19.8
April,6,19.3
April,7,24
April,8,29
April,9,17.4
April,10,18.3
April,11,13.2
April,12,15.5
April,13,20.1
April,14,21.2
April,15,19.5
April,16,15.5
April,17,16.4
April,18,18.9
April,19,19.1
April,20,18.2
April,21,14.7
April,22,16.1
April,23,17.1
April,24,16.9
April,25,17.6
April,26,16.5
April,27,16.8
April,28,18.6
April,29,21.7
April,30,23.9
May,1,24
May,2,25.1
May,3,18.1
May,4,14.9
May,5,16.6
May,6,21.7
May,7,22.1
May,8,19.4
May,9,19.5
May,10,16.3
May,11,16
May,12,19
May,13,16.7
May,14,14.6
May,15,13.3
May,16,14.2
May,17,14.9
May,18,15.6
May,19,17.1
May,20,15.9
May,21,19.1
May,22,18.8
May,23,19.3
May,24,19.1
May,25,20.3
May,26,14.3
May,27,14
May,28,12.9
May,29,12.9
May,30,14.7
May,31,15.5
June,1,15.2
June,2,19.1
June,3,17.6
June,4,12.6
June,5,11.4
June,6,13.5
June,7,16
June,8,10.8
June,9,13.5
June,10,13.9
June,11,14.6
June,12,14.9
June,13,14.1
June,14,15.3
June,15,14.5
June,16,16.1
June,17,12.8
June,18,13
June,19,14.9
June,20,15.4
June,21,15.1
June,22,15.4
June,23,15
June,24,16.6
June,25,11.5
June,26,12.5
June,27,15.3
June,28,14.9
June,29,15.6
June,30,17.2
July,1,17.7
July,2,15
July,3,10.4
July,4,11.5
July,5,12
July,6,11.8
July,7,12
July,8,13
July,9,13.1
July,10,13.4
July,11,15.3
July,12,16.4
July,13,14.6
July,14,13.4
July,15,15.8
July,16,11.8
July,17,10.7
July,18,13.3
July,19,12.7
July,20,10.5
July,21,12.3
July,22,11.8
July,23,11.1
July,24,12.9
July,25,11.9
July,26,15.3
July,27,16.4
July,28,16.7
July,29,14.1
July,30,14.6
July,31,17.4
August,1,14.8
August,2,15.2
August,3,13.8
August,4,14.8
August,5,15.2
August,6,13.4
August,7,14.3
August,8,15.6
August,9,15.6
August,10,17.5
August,11,18.4
August,12,16
August,13,17.1
August,14,17.3
August,15,18.1
August,16,13.4
August,17,13.9
August,18,14.1
August,19,17.1
August,20,15.9
August,21,19.1
August,22,21.2
August,23,13.8
August,24,13.2
August,25,14.4
August,26,12.9
August,27,12.5
August,28,17.2
August,29,14.2
August,30,16.7
August,31,19.4
September,1,23.4
September,2,25.2
September,3,23.8
September,4,22.6
September,5,14
September,6,15.2
