Product code,Bureau of Meteorology station number,Year,Month,Day,MaxTemp,Days of accumulation of maximum temperature,Quality
IDCJAC0010,86077,1984,1,1,26.4,,Y
IDCJAC0010,86077,1984,1,2,26.2,1,Y
IDCJAC0010,86077,1984,1,3,22.1,1,Y
IDCJAC0010,86077,1984,1,4,21.2,1,Y
IDCJAC0010,86077,1984,1,5,32.7,1,Y
IDCJAC0010,86077,1984,1,6,31,1,Y
IDCJAC0010,86077,1984,1,7,22.3,1,Y
IDCJAC0010,86077,1984,1,8,21.7,1,Y
IDCJAC0010,86077,1984,1,9,21.2,1,Y
IDCJAC0010,86077,1984,1,10,23,1,Y
IDCJAC0010,86077,1984,1,11,23.2,1,Y
IDCJAC0010,86077,1984,1,12,28.8,1,Y
IDCJAC0010,86077,1984,1,13,27.4,1,Y
IDCJAC0010,86077,1984,1,14,33.2,1,Y
IDCJAC0010,86077,1984,1,15,22.1,1,Y
IDCJAC0010,86077,1984,1,16,23.1,1,Y
IDCJAC0010,86077,1984,1,17,19,1,Y
IDCJAC0010,86077,1984,1,18,19.9,1,Y
IDCJAC0010,86077,1984,1,19,20.9,1,Y
IDCJAC0010,86077,1984,1,20,21.5,1,Y
IDCJAC0010,86077,1984,1,21,19.9,1,Y
IDCJAC0010,86077,1984,1,22,19.8,1,Y
IDCJAC0010,86077,1984,1,23,30,1,Y
IDCJAC0010,86077,1984,1,24,30.3,1,Y
IDCJAC0010,86077,1984,1,25,19.6,1,Y
IDCJAC0010,86077,1984,1,26,19.9,1,Y
IDCJAC0010,86077,1984,1,27,20.1,1,Y
IDCJAC0010,86077,1984,1,28,22.7,1,Y
IDCJAC0010,86077,1984,1,29,28.2,1,Y
IDCJAC0010,86077,1984,1,30,19.2,1,Y
IDCJAC0010,86077,1984,1,31,20.4,1,Y
IDCJAC0010,86077,1984,2,1,19.5,1,Y
IDCJAC0010,86077,1984,2,2,24.3,1,Y
IDCJAC0010,86077,1984,2,3,28.9,1,Y
IDCJAC0010,86077,1984,2,4,24.6,1,Y
IDCJAC0010,86077,1984,2,5,25.6,1,Y
IDCJAC0010,86077,1984,2,6,33,1,Y
IDCJAC0010,86077,1984,2,7,21.8,1,Y
IDCJAC0010,86077,1984,2,8,20.9,1,Y
IDCJAC0010,86077,1984,2,9,20.7,1,Y
IDCJAC0010,86077,1984,2,10,20,1,Y
IDCJAC0010,86077,1984,2,11,31.3,1,Y
IDCJAC0010,86077,1984,2,12,33.2,1,Y
IDCJAC0010,86077,1984,2,13,23.1,1,Y
IDCJAC0010,86077,1984,2,14,24.8,1,Y
IDCJAC0010,86077,1984,2,15,35.1,1,Y
IDCJAC0010,86077,1984,2,16,22.4,1,Y
IDCJAC0010,86077,1984,2,17,24,1,Y
IDCJAC0010,86077,1984,2,18,29,1,Y
IDCJAC0010,86077,1984,2,19,31.8,1,Y
IDCJAC0010,86077,1984,2,20,33.8,1,Y
IDCJAC0010,86077,1984,2,21,21,1,Y
IDCJAC0010,86077,1984,2,22,28.1,1,Y
IDCJAC0010,86077,1984,2,23,26.8,1,Y
IDCJAC0010,86077,1984,2,24,19.4,1,Y
IDCJAC0010,86077,1984,2,25,21.8,1,Y
IDCJAC0010,86077,1984,2,26,34,1,Y
IDCJAC0010,86077,1984,2,27,34.3,1,Y
IDCJAC0010,86077,1984,2,28,19.3,1,Y
IDCJAC0010,86077,1984,2,29,19.4,1,Y
IDCJAC0010,86077,1984,3,1,18,1,Y
IDCJAC0010,86077,1984,3,2,18.3,1,Y
IDCJAC0010,86077,1984,3,3,20,1,Y
IDCJAC0010,86077,1984,3,4,20.8,1,Y
IDCJAC0010,86077,1984,3,5,27.7,1,Y
IDCJAC0010,86077,1984,3,6,32.2,1,Y
IDCJAC0010,86077,1984,3,7,20.3,1,Y
IDCJAC0010,86077,1984,3,8,17.9,1,Y
IDCJAC0010,86077,1984,3,9,21.5,1,Y
IDCJAC0010,86077,1984,3,10,27.9,1,Y
IDCJAC0010,86077,1984,3,11,20,1,Y
IDCJAC0010,86077,1984,3,12,25.6,1,Y
IDCJAC0010,86077,1984,3,13,21.9,1,Y
IDCJAC0010,86077,1984,3,14,18.8,1,Y
IDCJAC0010,86077,1984,3,15,18.4,1,Y
IDCJAC0010,86077,1984,3,16,19.7,1,Y
IDCJAC0010,86077,1984,3,17,28.8,1,Y
IDCJAC0010,86077,1984,3,18,23.6,1,Y
IDCJAC0010,86077,1984,3,19,18,1,Y
IDCJAC0010,86077,1984,3,20,19.3,1,Y
IDCJAC0010,86077,1984,3,21,22,1,Y
IDCJAC0010,86077,1984,3,22,26,1,Y
IDCJAC0010,86077,1984,3,23,26.7,1,Y
IDCJAC0010,86077,1984,3,24,25.3,1,Y
IDCJAC0010,86077,1984,3,25,21.5,1,Y
IDCJAC0010,86077,1984,3,26,17,1,Y
IDCJAC0010,86077,1984,3,27,15.2,1,Y
IDCJAC0010,86077,1984,3,28,18,1,Y
IDCJAC0010,86077,1984,3,29,23.8,1,Y
IDCJAC0010,86077,1984,3,30,25.6,1,Y
IDCJAC0010,86077,1984,3,31,16.7,1,Y
IDCJAC0010,86077,1984,4,1,18.7,1,Y
IDCJAC0010,86077,1984,4,2,19.3,1,Y
IDCJAC0010,86077,1984,4,3,17.7,1,Y
IDCJAC0010,86077,1984,4,4,16.8,1,Y
IDCJAC0010,86077,1984,4,5,18.3,1,Y
IDCJAC0010,86077,1984,4,6,22.7,1,Y
IDCJAC0010,86077,1984,4,7,17.5,1,Y
IDCJAC0010,86077,1984,4,8,21,1,Y
IDCJAC0010,86077,1984,4,9,21.3,1,Y
IDCJAC0010,86077,1984,4,10,22.3,1,Y
IDCJAC0010,86077,1984,4,11,24,1,Y
IDCJAC0010,86077,1984,4,12,23.3,1,Y
IDCJAC0010,86077,1984,4,13,23,1,Y
IDCJAC0010,86077,1984,4,14,24.4,1,Y
IDCJAC0010,86077,1984,4,15,24.7,1,Y
IDCJAC0010,86077,1984,4,16,18,1,Y
IDCJAC0010,86077,1984,4,17,18.8,1,Y
IDCJAC0010,86077,1984,4,18,16.2,1,Y
IDCJAC0010,86077,1984,4,19,17.2,1,Y
IDCJAC0010,86077,1984,4,20,15.7,1,Y
IDCJAC0010,86077,1984,4,21,16.2,1,Y
IDCJAC0010,86077,1984,4,22,20.8,1,Y
IDCJAC0010,86077,1984,4,23,18.2,1,Y
IDCJAC0010,86077,1984,4,24,15.4,1,Y
IDCJAC0010,86077,1984,4,25,16.4,1,Y
IDCJAC0010,86077,1984,4,26,17.2,1,Y
IDCJAC0010,86077,1984,4,27,17.7,1,Y
IDCJAC0010,86077,1984,4,28,15.9,1,Y
IDCJAC0010,86077,1984,4,29,16.8,1,Y
IDCJAC0010,86077,1984,4,30,20.6,1,Y
IDCJAC0010,86077,1984,5,1,22.2,1,Y
IDCJAC0010,86077,1984,5,2,22.9,1,Y
IDCJAC0010,86077,1984,5,3,18.7,1,Y
IDCJAC0010,86077,1984,5,4,14.5,1,Y
IDCJAC0010,86077,1984,5,5,13.6,1,Y
