Product code,Bureau of Meteorology station number,Year,Month,Day,MaxTemp,Days of accumulation of maximum temperature,Quality
IDCJAC0010,086104,2021,01,01,29.7,1,Y
IDCJAC0010,086104,2021,01,02,28.3,1,Y
IDCJAC0010,086104,2021,01,03,27.0,1,Y
IDCJAC0010,086104,2021,01,04,18.5,1,Y
IDCJAC0010,086104,2021,01,05,18.6,1,Y
IDCJAC0010,086104,2021,01,06,19.4,1,Y
IDCJAC0010,086104,2021,01,07,25.1,1,Y
IDCJAC0010,086104,2021,01,08,28.4,1,Y
IDCJAC0010,086104,2021,01,09,30.8,1,Y
IDCJAC0010,086104,2021,01,10,34.5,1,Y
IDCJAC0010,086104,2021,01,11,35.9,1,Y
IDCJAC0010,086104,2021,01,12,24.4,1,Y
IDCJAC0010,086104,2021,01,13,34.6,1,Y
IDCJAC0010,086104,2021,01,14,23.2,1,Y
IDCJAC0010,086104,2021,01,15,20.5,1,Y
IDCJAC0010,086104,2021,01,16,19.9,1,Y
IDCJAC0010,086104,2021,01,17,20.9,1,Y
IDCJAC0010,086104,2021,01,18,23.4,1,Y
IDCJAC0010,086104,2021,01,19,20.3,1,Y
IDCJAC0010,086104,2021,01,20,27.2,1,Y
IDCJAC0010,086104,2021,01,21,33.0,1,Y
IDCJAC0010,086104,2021,01,22,28.8,1,Y
IDCJAC0010,086104,2021,01,23,31.6,1,Y
IDCJAC0010,086104,2021,01,24,37.3,1,Y
IDCJAC0010,086104,2021,01,25,39.9,1,Y
IDCJAC0010,086104,2021,01,26,18.6,1,Y
IDCJAC0010,086104,2021,01,27,25.5,1,Y
IDCJAC0010,086104,2021,01,28,24.7,1,Y
IDCJAC0010,086104,2021,01,29,20.7,1,Y
IDCJAC0010,086104,2021,01,30,22.6,1,Y
IDCJAC0010,086104,2021,01,31,23.5,1,Y
IDCJAC0010,086104,2021,02,01,22.2,1,Y
IDCJAC0010,086104,2021,02,02,19.6,1,Y
IDCJAC0010,086104,2021,02,03,25.0,1,Y
IDCJAC0010,086104,2021,02,04,30.6,1,Y
IDCJAC0010,086104,2021,02,05,28.2,1,Y
IDCJAC0010,086104,2021,02,06,25.0,1,Y
IDCJAC0010,086104,2021,02,07,20.4,1,Y
IDCJAC0010,086104,2021,02,08,20.2,1,Y
IDCJAC0010,086104,2021,02,09,27.6,1,Y
IDCJAC0010,086104,2021,02,10,32.7,1,Y
IDCJAC0010,086104,2021,02,11,31.8,1,Y
IDCJAC0010,086104,2021,02,12,24.4,1,Y
IDCJAC0010,086104,2021,02,13,21.1,1,Y
IDCJAC0010,086104,2021,02,14,22.3,1,Y
IDCJAC0010,086104,2021,02,15,27.7,1,Y
IDCJAC0010,086104,2021,02,16,30.5,1,Y
IDCJAC0010,086104,2021,02,17,32.4,1,Y
IDCJAC0010,086104,2021,02,18,31.5,1,Y
IDCJAC0010,086104,2021,02,19,32.1,1,Y
IDCJAC0010,086104,2021,02,20,31.7,1,Y
IDCJAC0010,086104,2021,02,21,21.8,1,Y
IDCJAC0010,086104,2021,02,22,22.6,1,Y
IDCJAC0010,086104,2021,02,23,19.8,1,Y
IDCJAC0010,086104,2021,02,24,22.5,1,Y
IDCJAC0010,086104,2021,02,25,24.5,1,Y
IDCJAC0010,086104,2021,02,26,20.8,1,Y
IDCJAC0010,086104,2021,02,27,19.4,1,Y
IDCJAC0010,086104,2021,02,28,28.9,1,Y
IDCJAC0010,086104,2021,03,01,22.6,1,N
IDCJAC0010,086104,2021,03,02,18.9,1,N
IDCJAC0010,086104,2021,03,03,20.3,1,N
IDCJAC0010,086104,2021,03,04,20.9,1,N
IDCJAC0010,086104,2021,03,05,18.0,1,N
