Product code,Bureau of Meteorology station number,Year,Month,Day,MaxTemp,Days of accumulation of maximum temperature,Quality
IDCJAC0010,86104,2021,April,11,13.2,1,Y
IDCJAC0010,86104,2021,April,12,15.5,1,Y
IDCJAC0010,86104,2021,April,13,20.1,1,Y
IDCJAC0010,86104,2021,April,14,21.2,1,Y
IDCJAC0010,86104,2021,April,15,19.5,1,Y
IDCJAC0010,86104,2021,April,16,15.5,1,Y
IDCJAC0010,86104,2021,April,17,16.4,1,Y
IDCJAC0010,86104,2021,April,18,18.9,1,Y
IDCJAC0010,86104,2021,April,19,19.1,1,Y
IDCJAC0010,86104,2021,April,20,18.2,1,Y
IDCJAC0010,86104,2021,April,21,14.7,1,Y
IDCJAC0010,86104,2021,April,22,16.1,1,Y
IDCJAC0010,86104,2021,April,23,17.1,1,Y
IDCJAC0010,86104,2021,April,24,16.9,1,Y
IDCJAC0010,86104,2021,April,25,17.6,1,Y
IDCJAC0010,86104,2021,April,26,16.5,1,Y
IDCJAC0010,86104,2021,April,27,16.8,1,Y
IDCJAC0010,86104,2021,April,28,18.6,1,Y
IDCJAC0010,86104,2021,April,29,21.7,1,Y
IDCJAC0010,86104,2021,April,30,23.9,1,Y
IDCJAC0010,86104,2021,May,1,24,1,Y
IDCJAC0010,86104,2021,May,2,25.1,1,Y
IDCJAC0010,86104,2021,May,3,18.1,1,Y
IDCJAC0010,86104,2021,May,4,14.9,1,Y
IDCJAC0010,86104,2021,May,5,16.6,1,Y
IDCJAC0010,86104,2021,May,6,21.7,1,Y
IDCJAC0010,86104,2021,May,7,22.1,1,Y
IDCJAC0010,86104,2021,May,8,19.4,1,Y
IDCJAC0010,86104,2021,May,9,19.5,1,Y
IDCJAC0010,86104,2021,May,10,16.3,1,Y
IDCJAC0010,86104,2021,May,11,16,1,Y
IDCJAC0010,86104,2021,May,12,19,1,Y
IDCJAC0010,86104,2021,May,13,16.7,1,Y
IDCJAC0010,86104,2021,May,14,14.6,1,Y
IDCJAC0010,86104,2021,May,15,13.3,1,Y
IDCJAC0010,86104,2021,May,16,14.2,1,Y
IDCJAC0010,86104,2021,May,17,14.9,1,Y
IDCJAC0010,86104,2021,May,18,15.6,1,Y
IDCJAC0010,86104,2021,May,19,17.1,1,Y
IDCJAC0010,86104,2021,May,20,15.9,1,Y
IDCJAC0010,86104,2021,May,21,19.1,1,Y
IDCJAC0010,86104,2021,May,22,18.8,1,Y
IDCJAC0010,86104,2021,May,23,19.3,1,Y
IDCJAC0010,86104,2021,May,24,19.1,1,Y
IDCJAC0010,86104,2021,May,25,20.3,1,Y
IDCJAC0010,86104,2021,May,26,14.3,1,Y
IDCJAC0010,86104,2021,May,27,14,1,Y
IDCJAC0010,86104,2021,May,28,12.9,1,Y
IDCJAC0010,86104,2021,May,29,12.9,1,Y
IDCJAC0010,86104,2021,May,30,14.7,1,Y
IDCJAC0010,86104,2021,May,31,15.5,1,Y
IDCJAC0010,86104,2021,June,1,15.2,1,Y
IDCJAC0010,86104,2021,June,2,19.1,1,Y
IDCJAC0010,86104,2021,June,3,17.6,1,Y
IDCJAC0010,86104,2021,June,4,12.6,1,Y
IDCJAC0010,86104,2021,June,5,11.4,1,Y
IDCJAC0010,86104,2021,June,6,13.5,1,Y
IDCJAC0010,86104,2021,June,7,16,1,Y
IDCJAC0010,86104,2021,June,8,10.8,1,Y
IDCJAC0010,86104,2021,June,9,13.5,1,Y
IDCJAC0010,86104,2021,June,10,13.9,1,Y
IDCJAC0010,86104,2021,June,11,14.6,1,Y
IDCJAC0010,86104,2021,June,12,14.9,1,Y
IDCJAC0010,86104,2021,June,13,14.1,1,Y
IDCJAC0010,86104,2021,June,14,15.3,1,Y
IDCJAC0010,86104,2021,June,15,14.5,1,Y
IDCJAC0010,86104,2021,June,16,16.1,1,Y
IDCJAC0010,86104,2021,June,17,12.8,1,Y
IDCJAC0010,86104,2021,June,18,13,1,Y
IDCJAC0010,86104,2021,June,19,14.9,1,Y
IDCJAC0010,86104,2021,June,20,15.4,1,Y
IDCJAC0010,86104,2021,June,21,15.1,1,Y
IDCJAC0010,86104,2021,June,22,15.4,1,Y
IDCJAC0010,86104,2021,June,23,15,1,Y
IDCJAC0010,86104,2021,June,24,16.6,1,Y
IDCJAC0010,86104,2021,June,25,11.5,1,Y
IDCJAC0010,86104,2021,June,26,12.5,1,Y
IDCJAC0010,86104,2021,June,27,15.3,1,Y
IDCJAC0010,86104,2021,June,28,14.9,1,Y
IDCJAC0010,86104,2021,June,29,15.6,1,Y
IDCJAC0010,86104,2021,June,30,17.2,1,Y
IDCJAC0010,86104,2021,July,1,17.7,1,Y
IDCJAC0010,86104,2021,July,2,15,1,Y
IDCJAC0010,86104,2021,July,3,10.4,1,Y
IDCJAC0010,86104,2021,July,4,11.5,1,Y
IDCJAC0010,86104,2021,July,5,12,1,Y
IDCJAC0010,86104,2021,July,6,11.8,1,Y
IDCJAC0010,86104,2021,July,7,12,1,Y
IDCJAC0010,86104,2021,July,8,13,1,Y
IDCJAC0010,86104,2021,July,9,13.1,1,Y
IDCJAC0010,86104,2021,July,10,13.4,1,Y
IDCJAC0010,86104,2021,July,11,15.3,1,Y
IDCJAC0010,86104,2021,July,12,16.4,1,Y
IDCJAC0010,86104,2021,July,13,14.6,1,Y
IDCJAC0010,86104,2021,July,14,13.4,1,Y
IDCJAC0010,86104,2021,July,15,15.8,1,Y
IDCJAC0010,86104,2021,July,16,11.8,1,Y
IDCJAC0010,86104,2021,July,17,10.7,1,Y
IDCJAC0010,86104,2021,July,18,13.3,1,Y
IDCJAC0010,86104,2021,July,19,12.7,1,Y
IDCJAC0010,86104,2021,July,20,10.5,1,Y
IDCJAC0010,86104,2021,July,21,12.3,1,Y
IDCJAC0010,86104,2021,July,22,11.8,1,Y
IDCJAC0010,86104,2021,July,23,11.1,1,Y
IDCJAC0010,86104,2021,July,24,12.9,1,Y
IDCJAC0010,86104,2021,July,25,11.9,1,Y
IDCJAC0010,86104,2021,July,26,15.3,1,Y
IDCJAC0010,86104,2021,July,27,16.4,1,Y
IDCJAC0010,86104,2021,July,28,16.7,1,Y
IDCJAC0010,86104,2021,July,29,14.1,1,Y
IDCJAC0010,86104,2021,July,30,14.6,1,Y
IDCJAC0010,86104,2021,July,31,17.4,1,Y
IDCJAC0010,86104,2021,August,1,14.8,1,Y
IDCJAC0010,86104,2021,August,2,15.2,1,Y
IDCJAC0010,86104,2021,August,3,13.8,1,Y
IDCJAC0010,86104,2021,August,4,14.8,1,Y
IDCJAC0010,86104,2021,August,5,15.2,1,Y
IDCJAC0010,86104,2021,August,6,13.4,1,Y
IDCJAC0010,86104,2021,August,7,14.3,1,Y
IDCJAC0010,86104,2021,August,8,15.6,1,Y
IDCJAC0010,86104,2021,August,9,15.6,1,Y
IDCJAC0010,86104,2021,August,10,17.5,1,Y
IDCJAC0010,86104,2021,August,11,18.4,1,Y
IDCJAC0010,86104,2021,August,12,16,1,Y
IDCJAC0010,86104,2021,August,13,17.1,1,Y
IDCJAC0010,86104,2021,August,14,17.3,1,Y
IDCJAC0010,86104,2021,August,15,18.1,1,Y
IDCJAC0010,86104,2021,August,16,13.4,1,Y
IDCJAC0010,86104,2021,August,17,13.9,1,Y
IDCJAC0010,86104,2021,August,18,14.1,1,Y
IDCJAC0010,86104,2021,August,19,17.1,1,Y
IDCJAC0010,86104,2021,August,20,15.9,1,Y
IDCJAC0010,86104,2021,August,21,19.1,1,Y
IDCJAC0010,86104,2021,August,22,21.2,1,Y
IDCJAC0010,86104,2021,August,23,13.8,1,Y
IDCJAC0010,86104,2021,August,24,13.2,1,Y
IDCJAC0010,86104,2021,August,25,14.4,1,Y
IDCJAC0010,86104,2021,August,26,12.9,1,Y
IDCJAC0010,86104,2021,August,27,12.5,1,Y
IDCJAC0010,86104,2021,August,28,17.2,1,Y
IDCJAC0010,86104,2021,August,29,14.2,1,Y
IDCJAC0010,86104,2021,August,30,16.7,1,Y
IDCJAC0010,86104,2021,August,31,19.4,1,Y
IDCJAC0010,86104,2021,September,1,23.4,1,Y
IDCJAC0010,86104,2021,September,2,25.2,1,Y
IDCJAC0010,86104,2021,September,3,23.8,1,Y
IDCJAC0010,86104,2021,September,4,,,
IDCJAC0010,86104,2021,September,5,14,1,Y
IDCJAC0010,86104,2021,September,6,15.2,1,Y
IDCJAC0010,86104,2021,September,7,15.4,1,Y
IDCJAC0010,86104,2021,September,8,19.3,1,Y
IDCJAC0010,86104,2021,September,9,23.4,1,Y
IDCJAC0010,86104,2021,September,10,20.5,1,Y
IDCJAC0010,86104,2021,September,11,21.7,1,Y
IDCJAC0010,86104,2021,September,12,15.7,1,Y
IDCJAC0010,86104,2021,September,13,14.8,1,Y
IDCJAC0010,86104,2021,September,14,15.6,1,Y
IDCJAC0010,86104,2021,September,15,15.6,1,Y
IDCJAC0010,86104,2021,September,16,17.2,1,Y
IDCJAC0010,86104,2021,September,17,19.9,1,Y
IDCJAC0010,86104,2021,September,18,15.6,1,Y
IDCJAC0010,86104,2021,September,19,16.2,1,Y
IDCJAC0010,86104,2021,September,20,13.5,1,Y
IDCJAC0010,86104,2021,September,21,12.5,1,Y
IDCJAC0010,86104,2021,September,22,17.4,1,Y
IDCJAC0010,86104,2021,September,23,19.8,1,Y
IDCJAC0010,86104,2021,September,24,17.6,1,Y
IDCJAC0010,86104,2021,September,25,12.9,1,Y
IDCJAC0010,86104,2021,September,26,15.5,1,Y
IDCJAC0010,86104,2021,September,27,,,
IDCJAC0010,86104,2021,September,28,,,
IDCJAC0010,86104,2021,September,29,,,
IDCJAC0010,86104,2021,September,30,,,
IDCJAC0010,86104,2021,October,1,21.2,1,N
IDCJAC0010,86104,2021,October,2,17.4,1,N
IDCJAC0010,86104,2021,October,3,21.8,1,N
IDCJAC0010,86104,2021,October,4,17.5,1,N
IDCJAC0010,86104,2021,October,5,16.5,1,N
IDCJAC0010,86104,2021,October,6,20.4,1,N
IDCJAC0010,86104,2021,October,7,15.3,1,N
IDCJAC0010,86104,2021,October,8,20,1,N
IDCJAC0010,86104,2021,October,9,24.2,1,N
IDCJAC0010,86104,2021,October,10,15.7,1,N
IDCJAC0010,86104,2021,October,11,14.2,1,N
IDCJAC0010,86104,2021,October,12,20.4,1,N
IDCJAC0010,86104,2021,October,13,19.2,1,N
IDCJAC0010,86104,2021,October,14,19.3,1,N
IDCJAC0010,86104,2021,October,15,16.9,1,N
IDCJAC0010,86104,2021,October,16,14.6,1,N
IDCJAC0010,86104,2021,October,17,17.7,1,N
IDCJAC0010,86104,2021,October,18,17.2,1,N
IDCJAC0010,86104,2021,October,19,16.6,1,N
IDCJAC0010,86104,2021,October,20,23.2,1,N
IDCJAC0010,86104,2021,October,21,24.5,1,N
IDCJAC0010,86104,2021,October,22,26.3,1,N
IDCJAC0010,86104,2021,October,23,15.5,1,N
IDCJAC0010,86104,2021,October,24,15.6,1,N
IDCJAC0010,86104,2021,October,25,15.8,1,N
IDCJAC0010,86104,2021,October,26,20.8,1,N
IDCJAC0010,86104,2021,October,27,25.6,1,N
IDCJAC0010,86104,2021,October,28,27.4,1,N
IDCJAC0010,86104,2021,October,29,15.2,1,N
IDCJAC0010,86104,2021,October,30,16,1,N
IDCJAC0010,86104,2021,October,31,20.5,1,N
IDCJAC0010,86104,2021,November,1,24.6,1,N
IDCJAC0010,86104,2021,November,2,28.5,1,N
IDCJAC0010,86104,2021,November,3,25.3,1,N
IDCJAC0010,86104,2021,November,4,19.3,1,N
IDCJAC0010,86104,2021,November,5,25.5,1,N
IDCJAC0010,86104,2021,November,6,26.5,1,N
IDCJAC0010,86104,2021,November,7,16.7,1,N
IDCJAC0010,86104,2021,November,8,17.9,1,Y
IDCJAC0010,86104,2021,November,9,20.3,1,N
IDCJAC0010,86104,2021,November,10,15.3,1,N
IDCJAC0010,86104,2021,November,11,17.5,1,N
IDCJAC0010,86104,2021,November,12,13.2,1,N
IDCJAC0010,86104,2021,November,13,14.6,1,N
IDCJAC0010,86104,2021,November,14,14.7,1,N
IDCJAC0010,86104,2021,November,15,13.4,1,N
IDCJAC0010,86104,2021,November,16,15.1,1,N
IDCJAC0010,86104,2021,November,17,19.6,1,N
IDCJAC0010,86104,2021,November,18,25.6,1,N
IDCJAC0010,86104,2021,November,19,18.6,1,N
IDCJAC0010,86104,2021,November,20,18.2,1,N
IDCJAC0010,86104,2021,November,21,19.1,1,N
IDCJAC0010,86104,2021,November,22,24.4,1,N
IDCJAC0010,86104,2021,November,23,24.4,1,N
IDCJAC0010,86104,2021,November,24,27.6,1,N
IDCJAC0010,86104,2021,November,25,16,1,N
IDCJAC0010,86104,2021,November,26,19.5,1,N
IDCJAC0010,86104,2021,November,27,20.4,1,N
IDCJAC0010,86104,2021,November,28,23.9,1,N
IDCJAC0010,86104,2021,November,29,28.7,1,N
IDCJAC0010,86104,2021,November,30,31.2,1,N
IDCJAC0010,86104,2021,December,1,32.1,1,Y
IDCJAC0010,86104,2021,December,2,33.6,1,Y
IDCJAC0010,86104,2021,December,3,20.9,1,Y
IDCJAC0010,86104,2021,December,4,19.6,1,Y
IDCJAC0010,86104,2021,December,5,22.7,1,Y
IDCJAC0010,86104,2021,December,6,27.5,1,Y
IDCJAC0010,86104,2021,December,7,15.3,1,Y
IDCJAC0010,86104,2021,December,8,17.9,1,Y
IDCJAC0010,86104,2021,December,9,16.4,1,Y
IDCJAC0010,86104,2021,December,10,20.4,1,Y
IDCJAC0010,86104,2021,December,11,22,1,Y
IDCJAC0010,86104,2021,December,12,28.2,1,Y
IDCJAC0010,86104,2021,December,13,32.7,1,Y
IDCJAC0010,86104,2021,December,14,25.4,1,Y
IDCJAC0010,86104,2021,December,15,17.1,1,Y
IDCJAC0010,86104,2021,December,16,21.9,1,Y
IDCJAC0010,86104,2021,December,17,29.9,1,Y
IDCJAC0010,86104,2021,December,18,33.8,1,Y
IDCJAC0010,86104,2021,December,19,20,1,Y
IDCJAC0010,86104,2021,December,20,28.1,1,Y
IDCJAC0010,86104,2021,December,21,27,1,Y
IDCJAC0010,86104,2021,December,22,21.3,1,Y
IDCJAC0010,86104,2021,December,23,22.5,1,Y
IDCJAC0010,86104,2021,December,24,29.4,1,Y
IDCJAC0010,86104,2021,December,25,24.1,1,Y
IDCJAC0010,86104,2021,December,26,19,1,Y
IDCJAC0010,86104,2021,December,27,22.6,1,Y
IDCJAC0010,86104,2021,December,28,26.4,1,Y
IDCJAC0010,86104,2021,December,29,27.5,1,Y
IDCJAC0010,86104,2021,December,30,35,1,Y
IDCJAC0010,86104,2021,December,31,37.9,1,Y
